"Squeal","Subject","Treatment","Week","Stage","Schlegel21_HNR","Schlegel21_PF","ddgfcc_0_std","ddmfcc_7_std","dpncc_1_std","dpncc_8_std","e_std","gfcc_0_mean","gfcc_1_std","gfcc_4_std","gfcc_6_mean","gfcc_7_mean","gfcc_7_std","gfcc_8_mean","jit_factor","lpc_11_mean","lpc_4_mean","lpcc_10_mean","lpcc_2_mean","lpcc_4_mean","lpcc_5_mean","lpcc_6_mean","lpcc_7_std","lpcc_8_mean","lpcc_9_mean","lsf_3_mean","lsf_4_std","lsf_8_std","mfcc_11_mean","mfcc_2_mean","mfcc_2_std","mfcc_6_mean","mfcc_7_mean","plpcc_10_mean","plpcc_12_mean","plpcc_1_std","plpcc_4_std","pncc_4_std","pncc_6_mean","pncc_7_std","pncc_9_std","ppq5","s_contrast_band_1_mean","s_contrast_band_5_mean","s_contrast_band_7_mean","s_entropy_mean","s_flux_mean","s_logdist_std","ucla_flux","zcr_std"
"ZOOM0003_LR-0022_snip_1","Barry and Stevie","S",0,"Pre",-1.4369748558598,1413.68421052632,15.3031059557235,56.0034289653211,0.226028283837985,0.0415148432922224,1212.08445417107,-962.619245674046,64.706892976717,71.4818340227197,-36.1208022213195,5.40570804683941,32.9533613931601,-20.9371685855764,17.7212615593176,0.059029985244472,0.0185699130469861,0.00619510903765355,0.120998155528649,0.0939239676755611,0.00910286094491584,0.0331104317043898,0.16039303347343,-0.00724865699475423,0.0795359955521707,1807.73265972851,127.650944538781,152.343436491326,15.9486987399275,62.3544988304447,30.3796354439563,26.4458115729205,-7.95897806893744,-0.0484106659877654,-0.16266246596714,0.515797816682891,0.717567043704534,0.16355394702947,-0.0659996918775435,0.0694557095433246,0.0573142737928888,15.2170936901405,16.9514883590115,28.9465055652305,51.6994173915067,0.626041763006904,0.0368004854512567,0.0205560685917541,12827.7851935009,0.0540530950630856
"ZOOM0003_LR-0022_snip_10","Barry and Stevie","S",0,"Pre",5.06637343254717,1703.39805825243,14.3252724857598,59.5423095906031,0.177090455823232,0.0654653355355284,3847.90738849385,-991.76524042814,69.8934177964676,83.0923553582459,-49.0642082526148,4.44986462516994,47.413161037701,2.99408563135734,14.3193637084705,0.051122933424629,0.0277508679700846,0.0464706258522694,0.0143679941717549,-0.0483506364411608,-0.104672785019487,-0.136356443000891,0.143012477408986,-0.100586410264391,0.141895540140782,1725.96825870448,186.691281495719,179.577796031,38.5475356798582,1.14626205168043,52.1909530056861,44.7924659401464,-53.1534844257135,0.391168989191369,-0.212571067536306,0.631136974648256,0.827737933944701,0.291666042820882,-0.100366093658738,0.0817337877678121,0.11999203897187,12.9493671649902,16.0280910578507,33.924957828128,58.1683821179351,0.558850759419752,0.0542790722461468,0.0300874613509088,17757.8319384925,0.0394441820787169
"ZOOM0003_LR-0022_snip_11","Barry and Stevie","S",0,"Pre",-2.11534508707333,1494.38775510204,20.0294662767367,55.3398148579872,0.290462639569806,0.0605831020224355,1086.40089993085,-969.117812110074,71.9849517393831,46.5278680942869,-19.4981513317441,21.7551995598599,34.4225402411346,-35.6820755734697,17.6202817803314,0.0779324900212602,-0.0326408525764118,-0.0437081648435856,0.130251150141953,0.0769951592274736,0.0434271587259917,-0.0310255551381905,0.112099206587904,-0.0356882700398864,0.0459524495069443,1868.77131805045,151.946817369053,110.156832510131,-16.9053845220007,43.5115902254859,68.9206424619618,28.2150767051429,7.34013809369525,0.0148872432853981,0.0455119876759867,0.56598937542945,0.451708377075967,0.116028226798413,-0.0225372487999061,0.061015844872952,0.0697029942308311,15.6224429531886,16.023632683235,29.3338574925993,51.7754204118218,0.680109156715865,0.0333523334571672,0.0508481185371955,9854.30634230485,0.0589832387307902
"ZOOM0003_LR-0022_snip_12","Barry and Stevie","S",0,"Pre",0.699109456399091,1131.40096618358,14.0614918773382,51.114179022124,0.188534760065682,0.0588527861409644,1970.18266692773,-971.854023165678,95.6944432935616,39.5616135943477,-24.339674178105,12.9465835559339,37.5926942586071,-4.98057182143843,18.7501477268314,0.105454410074976,0.172348109186981,-0.0566914331674497,0.298248935655541,0.0667983175604257,-0.126816979527436,-0.143590999204199,0.127002471561786,-0.0111685411757244,0.0238941994815815,1754.76113232043,196.521676254631,130.066157834867,-29.9793053997791,21.2353453266822,36.6169841893484,39.794979778075,-45.5807928420057,-0.294532783784239,0.0676739934661525,0.69569121380089,0.4194745178798,0.120825152777353,-0.0368300157043639,0.0849606740025316,0.0614777499756816,16.8698973112745,14.3255117332323,33.6032473336338,53.0607237534955,0.615177261989634,0.0354367512239424,0.025429420194494,13073.3162109048,0.0597693536956063
"ZOOM0003_LR-0022_snip_2","Barry and Stevie","S",0,"Pre",0.524277846425514,741.489361702128,15.2187722612889,43.7760876310615,0.2144109133736,0.0447370962647803,1016.75917842477,-963.428534618745,79.6575315465776,62.8676906713141,-22.1265422790953,15.3105571113887,36.347640638415,-26.246194816615,18.6741056241639,0.078999970924526,-0.111264108367952,0.0229103147982978,0.0810446894310723,0.117504167532179,0.124349494636617,0.0294876105802903,0.195125363755218,0.00642361227086108,0.0702740878047051,1814.0994433951,164.644100149111,111.988415529357,6.79223550259346,88.965503286749,22.8807739628432,15.2389619801603,0.759620211170749,-0.0353569514757923,-0.3785415723314,0.684502882521115,0.551259348723328,0.163514562800776,-0.0222468722978743,0.0679104609750032,0.055990305537272,14.5798214187651,16.0375803113136,30.3034376571125,53.2347241045549,0.600994161312431,0.0382877168719996,0.0139056041941029,9725.0651357443,0.0556906254975817
"ZOOM0003_LR-0022_snip_3","Barry and Stevie","S",0,"Pre",-2.91902669651998,1428.64077669903,16.3824035800072,49.0861773154081,0.252440075706917,0.0399318215268255,1836.11311211278,-996.783903065087,87.6452429038601,41.4101071834309,-36.4618991601633,-25.5340564902987,35.842507517731,-58.5643286074812,18.1567735151545,0.0541333826172301,-0.0233728872373742,0.036670692509642,-0.134481256214219,0.0522041133913417,0.0304726735155609,-0.124922377215106,0.133693184322572,-0.0174333380304063,0.0314070344611194,1975.96045889704,190.843144340083,95.5727983489793,-27.1182317830015,62.2880416489645,31.1785453191346,62.5544621759066,-0.306356284187225,0.0212030022381151,-0.16332953594085,0.739946262514268,0.422862034466964,0.0868578488632232,-0.0438308050999996,0.0705944685242427,0.067537387394255,15.6784072658534,16.3267844678928,32.0392319766373,56.0952640548129,0.730669103939242,0.0302099194627929,0.0249177637734261,19810.4493861067,0.0617258331776039
"ZOOM0003_LR-0022_snip_4","Barry and Stevie","S",0,"Pre",-2.97750703584275,1431.79723502304,21.1215022282422,46.5600665967632,0.201148528366816,0.0568897736685365,2955.73873674725,-997.422558549032,63.7842848137078,40.1855443262247,-58.6975761857985,-5.64778551593283,35.355859529588,-24.70537543668,14.0441217631587,0.0202114719704071,-0.00425054570078512,0.0433845591134304,-0.174648996217031,0.00278451666884121,0.00763710350851431,-0.0362073701394101,0.155523520898596,0.0603963246010823,0.0779070449376194,2005.11651839256,125.640821961838,108.445827606618,-3.53725721075515,66.355696406934,43.3043649002726,38.1448306986397,-21.0904317019111,0.119387630860256,-0.0887617296931642,0.495373971293646,0.403981548009603,0.0879087907086952,-0.0618483049338316,0.0530381919139726,0.0600640790043235,12.0227831509813,16.6777304052078,31.2503145899695,55.368394597852,0.723890055625289,0.0298485140500498,0.0264330030252177,23065.4071439034,0.0654168170161593
"ZOOM0003_LR-0022_snip_5","Barry and Stevie","S",0,"Pre",0.468195427471943,757.213930348259,10.8062879814559,40.6725139756718,0.165393808945508,0.0424082452188827,1442.54739829977,-959.17640180862,49.5137342126448,75.7452304912119,-34.9113702191715,-21.5851804542037,36.1678246952349,-25.5165458282707,17.0889582102705,0.0487202334599042,-0.209987882388289,0.0459342744933995,0.190407046811638,0.112448526404602,0.120334949169233,-0.0285240736356231,0.153558941815947,0.0175032687407639,0.0402835860806312,1681.46950810505,191.604662643852,143.112283288135,-6.31118483273,81.0091258962448,22.4686731647405,13.5040939916688,-15.9690952064349,-0.129690044760546,-0.510877299017147,0.413244177670487,0.657393295642011,0.172277369882333,-0.0330587384284806,0.0528584757116241,0.0503144368717819,15.8834903605565,19.3580061383746,28.7436228014303,56.4043638373295,0.549514776180068,0.0436588256146758,0.0351724688054744,9398.96321797723,0.0321269463740832
"ZOOM0003_LR-0022_snip_6","Barry and Stevie","S",0,"Pre",-2.87312019388023,55.2631578947368,20.995528293836,64.1175341555631,0.2130445595925,0.0451585246547281,819.76435887372,-976.832967956183,85.409703970272,42.0842976587712,-49.3503119489321,-12.1832949717408,57.5591389935823,-22.7522436175052,18.9102280157563,0.0761464404552001,-0.0271629756877035,0.0317657043692253,-0.0935500552599044,0.100411016359721,0.0457177406799948,0.0368672212235185,0.0973841620138873,0.0862573648905501,0.126404358051941,1949.0120600392,215.265037893118,128.792059338249,-1.53956896548851,77.0015987949217,34.3198469351771,36.4630336622404,-16.9945496992568,-0.0308575252625004,-0.0875315852434422,0.712351547637812,0.39305862841134,0.10673659349408,-0.0527831486419409,0.0776397440013151,0.0599369809547111,15.8353854860381,16.3620643866258,29.543045259414,51.2695043170446,0.720873442150368,0.029884591115691,0.0178161138982719,15417.9256603756,0.0654367317618166
"ZOOM0003_LR-0022_snip_7","Barry and Stevie","S",0,"Pre",0.441942938822478,1500.53191489362,11.7684009851418,40.8505956230177,0.200623809527072,0.051057038806824,1832.92974744886,-970.240651601604,63.0923550177124,47.4972033354405,-14.3013383362402,-28.1399653744643,56.7567894454373,-37.9107891865187,16.5113261906853,0.0841167398883529,0.0566486383805817,-0.0088580064160922,0.172370981288863,0.00952488390726518,-0.134615067335165,-0.187530444180186,0.108256866246881,-0.0966304041661108,0.0376692150252508,1669.29397575742,159.596383136246,130.140203517273,-12.8220741848199,7.20026998162645,33.7456383965817,77.0237366641696,0.351895965736259,-0.146951066006681,-0.167215182903076,0.509628984114559,0.563978695045617,0.11756880861196,0.00972696073881571,0.100332365289836,0.0808223247705225,15.3280417949239,22.1741650479903,33.1401231686546,53.505109855909,0.59646132558783,0.0412811134992668,0.0256358514039232,15029.3002942468,0.0414535887735693
"ZOOM0003_LR-0022_snip_8","Barry and Stevie","S",0,"Pre",0.296716756583131,1500.53475935829,11.3624717798911,50.8904094149106,0.211306380405007,0.0523266684521054,1802.84280353219,-973.250741994103,69.0044387590883,35.6626220461778,-2.58477508009067,-3.50861562392898,62.1347868177897,-40.0520562994554,15.6318857047669,0.0821411884728784,0.0703223973046095,-0.0536769582163282,0.174486264192614,-0.00194913136767894,-0.139132998479044,-0.188409830891726,0.09326607049048,-0.132641442604649,0.00318192176208384,1697.26097225628,166.012917233417,124.92598099469,-17.1274590744791,1.94723954657147,35.0057268052051,71.8549089973035,1.57573173876521,-0.184214336704401,-0.115990560632112,0.5653363685468,0.353242731427496,0.103717760527895,0.0399644531610591,0.122131739664483,0.0827930057749994,13.8800885278821,19.0659492951099,33.4305731237377,55.2302338004798,0.59517325875861,0.0404510844441617,0.0260725925161749,15809.3055830064,0.0448226906912484
"ZOOM0003_LR-0022_snip_9","Barry and Stevie","S",0,"Pre",4.05312667877006,1703.34928229665,16.0609800316727,51.1708276086725,0.196008838817637,0.0585113304521564,3757.67033737728,-995.842790135107,61.0055895194381,64.9659472834761,-33.2879203357257,22.8619902097741,46.079127543245,-2.28742478174777,13.4132530457737,0.0486294235407481,0.0775222841261961,0.0396141507470559,0.0448699354874281,-0.065542234875757,-0.1391380559524,-0.165791397349469,0.134138866321569,-0.131387190434402,0.136934578134967,1724.20912518089,167.767886558841,179.272026071634,34.9631821135649,-21.8174721160329,39.331456733403,63.6359961254729,-40.1206331908145,0.433244592241333,-0.178999147043806,0.562594647065783,0.806607211617365,0.230393866794255,-0.0694158382929924,0.101084627673968,0.0926490768450618,12.2993410490864,16.8257973470749,35.3370240300176,57.3730698287525,0.54099015804261,0.0526940583731833,0.028280388957376,20233.3256239684,0.039687217130366
"ZOOM0003_LR-0022_sound_1","Barry and Stevie","S",0,"Pre",-2.96410556612286,1431.92488262911,20.7926169809278,60.2409150055666,0.205710091229254,0.0544818597477145,2904.95191970544,-998.034500235605,59.1150972567262,39.3549004725268,-57.5004274079038,-5.80402458953868,33.975708862286,-25.7889879129389,16.7831546469029,0.0224985331722561,0.000948831459013347,0.0438990911908934,-0.173222144571496,0.00402791108811236,0.00362904015375283,-0.0357892447936364,0.154647505507486,0.0582775459374206,0.0783469664915123,2004.93066275279,131.535025978629,106.870972547473,-3.79279037414482,65.7777538529153,42.3182796590366,39.4379987492278,-21.3435922018829,0.119534311796686,-0.0919954897093427,0.468158521724344,0.393480846632876,0.0850027779509492,-0.064309821231485,0.0517215785087141,0.0625477298604768,14.9291193156111,17.1398440609849,31.5571090483304,55.8670409669653,0.727806499082619,0.0298708368539828,0.0262940895937865,23370.8872149197,0.0647219826944841
"ZOOM0005_LR-0022_sound_1","Barry and Stevie","S",0,"Pre",-2.56604964195165,584.860557768924,11.4095360207503,37.4245416340683,0.181920315028123,0.0376029066227803,2640.91777695505,-969.618202975965,90.3267185238529,77.6473835207084,-47.8898708199803,-6.52492519821845,40.5508857970388,-48.3560080099218,20.5945398359956,0.146557066639354,-0.14961230904852,-0.0182568800474802,0.19422069130589,0.180638568610749,0.14749397183698,-0.0114414099009993,0.0978973044140124,-0.0145531749450386,0.0457454360878206,1676.4167672569,159.401184348068,112.738080692671,-13.3080140920091,73.9090514041728,26.0799063352396,17.2799549530898,-19.8553843080416,-0.104513932683711,-0.0516089876893353,0.742378741220706,0.616314201820856,0.148310112960374,-0.0776288115399578,0.0665600504309149,0.025503689714992,17.7693137286536,22.5369858996564,32.2292841263884,53.1509768131878,0.517636486936416,0.0421898051334787,0.0394932815366475,19486.2589979197,0.0361902565550572
"ZOOM0008_LR-0020_sound_2","Barry and Stevie","S",14,"Mid Post",4.23634162852985,97.9757085020243,16.9959305686128,54.0146918374072,0.214027344670929,0.0563532289700929,1495.78641952125,-987.244648479139,87.3670620932135,56.1785781488875,-29.3612006918396,-4.10196494841345,68.5906039700538,-145.687119550488,21.8347315154103,-0.0193379995606184,-0.218294831007855,0.0422133431160045,0.659018182400608,0.399615208428928,0.392337606521314,-0.0182461014752457,0.111789652431554,-0.167524785111396,0.070166824963204,1394.16467206569,290.493590164435,165.184237220371,-33.5802980307044,123.316274497185,34.6049650014103,92.1426070948372,130.261240103781,0.131201170711671,-0.265634440468948,0.832632766096633,0.533196771092624,0.139453007240737,-0.0165586827531896,0.121720001770139,0.0821560755673215,15.9065964327754,20.1161125311997,32.4543492901619,57.3533839829242,0.424867519112422,0.0595128441237448,0.0553776126012988,6358.86196653861,0.0513861792663678
"ZOOM0008_LR-0020_sound_4","Barry and Stevie","S",14,"Mid Post",1.71026684009153,218.779342723005,14.1487789632947,34.9905641325088,0.29441577527284,0.0487199743121729,1924.23426557616,-982.394470264227,87.7592482232735,35.5017557019994,-121.587936347481,-52.5986276097527,73.4522574439433,-115.140596459852,22.4557685459218,-0.101115647152029,-0.131990097110279,0.0691455287394342,0.626206925728692,0.291924788561059,0.227545411051863,-0.186127138121433,0.214831129062263,0.000132332615992016,0.218554109234614,1533.77284073632,276.76922945683,265.826259684532,-66.4261559642525,108.139121068134,38.4220596434446,111.098924940672,56.5227924396994,0.151349771035253,0.0892807045521309,0.929479912628193,0.266552279984261,0.117308073279909,-0.185151564438062,0.134583997419612,0.0461540060418976,17.8780210542406,16.9243326319269,31.1858664395781,62.2547096693179,0.460462167336822,0.055919521843584,0.0718164702150132,6849.74061652427,0.0587171115669121
"ZOOM0008_LR-0020_sound_5","Barry and Stevie","S",14,"Mid Post",-1.56907364756912,135.483870967742,9.87042477081942,32.8664550011409,0.160068481861557,0.0423424318744123,1303.00120138832,-973.951224235367,88.7722012006504,29.4566968943248,-32.803191687793,-41.6169969803925,41.8676322969444,-89.9344144511834,20.8859984500729,-0.00565929717499737,-0.136403859382428,0.0136294650881672,0.593314288089493,0.236572494709371,0.229030991146446,-0.0297033330748322,0.121534324526074,-0.106880297967141,0.12957698819148,1418.92203301172,284.180370411408,168.209364891198,8.53057444364319,73.1895920729206,25.8242277848636,84.1822200496143,48.1299637185285,0.22814712070461,-0.227628881183611,0.765524752893745,0.227073282545018,0.0826161294935855,-0.0429882791579655,0.0736991515524412,0.0484967752647836,14.0826105118535,20.6295587555996,30.5321456767341,55.4023273978454,0.528534817717493,0.04657323029874,0.031520759427069,10649.7434013251,0.0322643283806403
"ZOOM0008_LR-0020_sound_7","Barry and Stevie","S",14,"Mid Post",1.75008275391688,94.4954128440367,21.8365876350547,51.4132374455899,0.28553948816722,0.0472061333657302,1852.49453830781,-980.791613260947,97.0829801898471,37.6796934188905,-95.4349270859082,7.37278105724948,60.4385633875987,-131.279640352235,23.7255071768142,0.0375437623043253,-0.0955353597857912,-0.0111212495111018,0.850847396111415,0.393817512026362,0.318517863406991,-0.216287905104362,0.130790781296928,-0.172927661918277,0.0879645250011642,1479.46336459388,355.058007759476,218.25496841254,-76.6168612527432,105.746736253817,41.3979275742746,84.0911982515827,78.8715879653252,0.326002265002188,-0.17835648685249,0.972935855665716,0.35658871202422,0.125164537384952,-0.13486552353199,0.104581565462434,0.0494132193179564,15.4684966089564,18.5741119998808,33.9261762436522,61.7718443882169,0.510330650056017,0.0494153398191506,0.0489477152569671,7579.28767159005,0.0643106749289515
"ZOOM0008_LR-0020_sound_8","Barry and Stevie","S",14,"Mid Post",0.795198932630044,94.4206008583691,16.8607785791579,38.8377301729289,0.191622782699905,0.0448664754736292,1608.05405898746,-994.526283359877,109.25203776971,56.4397758431639,-89.990501023506,27.2556840066645,63.6784938351732,-79.0613923045521,18.4426268190485,0.106888025496356,-0.377130573514761,0.00445049869742525,0.923632161407894,0.209786778817989,0.258811354661391,-0.0704785803257184,0.123734627551204,-0.171018452033087,0.0178376176412741,1395.37251167039,347.144876128628,212.971133307439,-30.542681163447,81.1107094638363,28.7146492932714,40.0633921882114,53.1252347536044,0.111886618924614,-0.0224786561719091,1.07700519239912,0.66782613410304,0.164421871085249,-0.131174247159745,0.10781876377635,0.0698805596684519,16.1963525107206,18.1655595848878,35.4191951957127,57.8135398332885,0.511559100995288,0.0553273514082403,0.058928915008555,7925.33391434607,0.0714302972356207
"ZOOM0005_LR-0019_sound_8","Barry and Stevie","S",18,"Late Post",-1.10360982138329,96.7741935483871,13.1895189941117,41.4511629311555,0.101143703268704,0.0368865381743551,1266.16015569211,-978.575047000414,26.3270923328492,36.6185759024211,43.2871098269522,-26.4954096480071,28.7281813911308,-89.0618271098745,23.2322333055248,0.283995383922737,0.232058797108138,-0.0689784032354785,0.529610532960064,0.461698545556091,0.205605964443281,-0.10810965361655,0.13690549737436,0.034387812140576,0.0321236770041625,1359.81326649339,137.05217778316,82.2600210727347,-25.7431140645306,89.2044328648237,17.9308023817773,119.217996596472,72.2712002997586,-0.0651684837151911,-0.0712199232054374,0.179573475577047,0.463858034751041,0.130570652790263,0.102045318051411,0.0457624456420256,0.0643982066747204,17.4434510288965,15.6258021345859,33.8280801982428,49.1227604201286,0.435122297975673,0.0617083883794023,0.00760517191705442,8002.81677835601,0.0161861666426975
"ZOOM0001_LR-0006_sound_1","Barry and Stevie","S",23,"Late Post",-0.154878354340616,94.8356807511737,14.4970935309201,43.4822634928567,0.179840202449861,0.0520168561943705,1956.08324453224,-997.123354790178,58.2980938784764,54.3894551444669,92.5022325560114,40.4089603677788,48.9600387212761,-104.002334759052,21.0473917321609,-0.00196926028574419,-0.373167658180452,0.0251486253457009,0.449518892073075,0.368680636420601,0.384055313066713,0.178320957350357,0.13910016915498,-0.0666248943943979,-0.200680365272924,1257.33099124749,130.8521619009,104.861538823399,35.7965793160187,117.392325046345,32.0145684520021,35.8287278958896,117.527904173847,-0.248137113729108,-0.233793463039794,0.52980799460354,0.445524892727967,0.108691014683262,0.183898886300751,0.0879204699950878,0.090373804946384,13.9832522012743,25.4348447114,40.6025679693421,46.9641966645553,0.409918435451021,0.0587571137777677,0.0310638236126924,4954.80431618827,0.0443623564175906
"ZOOM0002_LR-0020_sound_2","Barry and Stevie","S",23,"Late Post",-0.427700734033139,96.6981132075472,13.905175778802,40.4844190344955,0.0798239391236847,0.0547656357074401,1832.95351937059,-1001.99851389028,34.3166652314787,60.5609369818333,52.1245652731632,-35.5341325759144,52.7244140304783,-35.341586211207,20.2372691480579,0.183428001130845,-0.195423186219876,0.036492476254843,0.583757256201866,0.38491289932122,0.29815370538124,0.0616872429737527,0.14171905225963,0.0367348828306251,0.0673023042660503,1313.35298319106,150.667993757001,151.836286416154,34.0175124485786,76.4848416553779,23.1833265911974,50.8179688167564,33.3223584120703,-0.0330971557402315,-0.284615489948624,0.334455786348408,0.519595996471486,0.126507363602164,0.100727009364307,0.0939600182214737,0.0485320012940972,12.4099878996589,22.0339242006854,33.1281442495858,43.1993880756081,0.377829146098326,0.0650797010814601,0.00893843959579184,5749.49946716913,0.00875325743551602
"ZOOM0003_LR-0013_snip_15","Barry and Stevie","S",27,"Late Post",-0.42513687824636,118.691588785047,14.531022362997,52.8525945510998,0.24195606537505,0.0508191170879045,1250.55402949572,-972.346550449174,66.3261374982032,35.8787127789094,-26.6290248530237,-11.2236473103915,25.3403473155523,-46.8402517849383,26.8103568983525,0.012651155324766,-0.118975538074645,0.0104987347681593,0.494508439389962,0.327460660821017,0.305946911776322,0.0780602820129032,0.0736755798797499,0.0117053456942184,0.002834191759626,1479.90982945984,165.344538288227,128.867340201087,-8.34348792400027,111.637727052789,27.576025583505,45.3223629442443,24.7917470829548,0.0322760876126078,0.148041705343739,0.597306805988832,0.232929098433212,0.0835818895635463,-0.0355914850679719,0.0340110880559954,0.0409396366627707,20.1712702976671,24.26684594228,33.6442674367972,47.1613671122639,0.448962854589975,0.0578039374391925,0.0461027521889527,5224.59396267815,0.0332039134252687
"ZOOM0003_LR-0020_snip_8","Barry and Stevie","S",27,"Late Post",7.37046045188672,25.4464285714286,24.6594693608009,45.0636569706376,0.162490408454907,0.0482809748532778,930.219565289821,-958.44297543199,53.3258476368349,37.8199034431969,-8.75643495909966,42.9154956991347,31.3021608501958,-22.9195102695462,22.401264738379,0.0018127506546142,-0.0450207773076075,0.0523171036556895,0.386696576826392,0.226594708291876,0.215209100917546,0.132299536783576,0.0859789178894883,0.0824061632858905,0.0181784388089805,1739.93535357341,72.1031807231963,89.3724327876438,-23.745287515728,85.5955713878015,41.8088421650096,47.6780360828217,15.5196333295067,-0.340807158507131,0.0889742141861442,0.429746783834417,0.338318252832662,0.124187980004576,-0.0131802771964819,0.074606766774471,0.0488611628417596,19.9646078618864,16.2595213243484,28.3664985374093,48.8764569175645,0.434006425178937,0.0605849572373722,0.0249320417210832,9112.04037825378,0.0402711003900045
"ZOOM0004_LR-0006_snip_1","Barry and Stevie","S",27,"Late Post",1.27474346270101,117.757009345794,19.3770789343594,40.5706533567426,0.0870419911218585,0.0353894644916583,1914.85827195334,-1018.90835500353,27.270680653764,40.3362713928914,22.4977490820507,-21.0582423825425,36.0660459874841,-47.7285864656493,13.9019815786114,0.25061397526047,-0.377308979905716,-0.0152461294182616,0.657625705892355,0.348680107841205,0.302308392175682,-0.125560646499011,0.104295208525511,0.066045156428839,-0.00936211654089517,1263.69997993305,180.269056197658,69.0216887702988,11.7391507990175,72.3411599767973,33.9103339184634,75.4438169854594,3.45550717010748,-0.0789785180174274,-0.476055062386773,0.2844059144926,0.448352988842938,0.150044749417994,0.0701727372630038,0.0710354371899035,0.051622511398134,13.1574839427622,27.2190521595174,33.541874351966,48.9778590429466,0.386784680908456,0.0711186275010295,0.0150650593218553,5922.62451081345,0.0115559007128394
"ZOOM0004_LR-0006_snip_16","Barry and Stevie","S",27,"Late Post",1.27474346270101,117.757009345794,19.3770789343594,40.5706533567426,0.0870419911218585,0.0353894644916583,1914.85827195334,-1018.90835500353,27.270680653764,40.3362713928914,22.4977490820507,-21.0582423825425,36.0660459874841,-47.7285864656493,13.9019815786114,0.25061397526047,-0.377308979905716,-0.0152461294182616,0.657625705892355,0.348680107841205,0.302308392175682,-0.125560646499011,0.104295208525511,0.066045156428839,-0.00936211654089517,1263.69997993305,180.269056197658,69.0216887702988,11.7391507990175,72.3411599767973,33.9103339184634,75.4438169854594,3.45550717010748,-0.0789785180174274,-0.476055062386773,0.2844059144926,0.448352988842938,0.150044749417994,0.0701727372630038,0.0710354371899035,0.051622511398134,13.1574839427622,27.2190521595174,33.541874351966,48.9778590429466,0.386784680908456,0.0711186275010295,0.0150650593218553,5922.62451081345,0.0115559007128394
