"contrast","Treatment","estimate","SE","df","t.ratio","p.value","feature","note"
"Pre - Mid Post","S",202.230607147102,87.2473109075703,1475.76481169655,2.3179007472373,0.041181762987651,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",-124.778996885518,68.1233133380386,1476.15473636532,-1.83166365185946,0.082775254728455,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",243.448717357981,70.9582228389689,1475.6302233555,3.4308739370553,0.00185473193235629,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",-83.5608866746398,45.9155567262284,1476.70888004222,-1.81988181419364,0.082775254728455,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",-327.009604032621,65.7646935133971,1473.27752058436,-4.97241888561382,0.00000443214346826745,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",-310.737642213589,101.443869634094,1477.5883283308,-3.06314855036991,0.00445958652895187,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",-391.971823878304,127.028580533411,1468.01383683564,-3.08569789753109,0.00445958652895187,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",-276.020491537448,86.2908346025831,1413.58164716704,-3.19872316461736,0.00445958652895187,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","U",-81.2341816647152,128.903344042221,1477.99630270457,-0.630194524962114,0.634397684866496,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","U",34.717150676141,111.632181376875,1380.15441276422,0.310995899640574,0.755850701988788,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",115.951332340856,137.616194782474,1367.1789671034,0.842570400410626,0.599424182194609,"Schlegel21_PF","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",-0.950864848519104,0.392262790942195,1426.95416232769,-2.4240505866875,0.0154720628509341,"ddgfcc_0_std","BH-adjusted; exploratory post-hoc"
